Design Sequence,Sequence,Link Name,URL,Group,Subgroup
132,194,Modify Establishment - Carer Log History,https://charmswiki.com/wiki/177/modify-establishment-carer-log-history,Provider / Partner Management,Providers & Establishments
133,195,Modify Establishment - Ending a Placement,https://charmswiki.com/wiki/185/modify-establishment-ending-a-placement,Provider / Partner Management,Providers & Establishments
134,196,Modify Establishment - Health and Safety,https://charmswiki.com/wiki/175/modify-establishment-health-and-safety,Provider / Partner Management,Providers & Establishments
135,197,Modify Establishment - Main Details,https://charmswiki.com/wiki/160/modify-establishment-main-details,Provider / Partner Management,Providers & Establishments
136,198,Modify Establishment - Making a Placement and Placement Details,https://charmswiki.com/wiki/163/modify-establishment-making-a-placement-and-placement-details,Provider / Partner Management,Providers & Establishments
137,199,Modify Establishment - Other Details,https://charmswiki.com/wiki/173/modify-establishment-other-details,Provider / Partner Management,Providers & Establishments
138,200,Modify Establishment - Progress,https://charmswiki.com/wiki/164/modify-establishment-progress,Provider / Partner Management,Providers & Establishments
139,202,Modify Establishment - Services,https://charmswiki.com/wiki/161/modify-establishment-services,Provider / Partner Management,Providers & Establishments
140,203,Modify Establishment - Significant Events / Chronology,https://charmswiki.com/wiki/321/modify-establishment-significant-events-chronology,Provider / Partner Management,Providers & Establishments
141,204,Modify Establishment - Statutory Checks,https://charmswiki.com/wiki/174/modify-establishment-statutory-checks,Provider / Partner Management,Providers & Establishments
142,345,Searching for an Establishment Record,https://charmswiki.com/wiki/159/searching-for-an-establishment-record,Provider / Partner Management,Providers & Establishments
143,7,Adding a new Employer,https://charmswiki.com/wiki/225/adding-a-new-employer,Provider / Partner Management,Employers
144,92,Employer - Employment Offerings,https://charmswiki.com/wiki/308/employer-employment-offerings,Provider / Partner Management,Employers
145,93,Employer - Main Details,https://charmswiki.com/wiki/226/employer-main-details,Provider / Partner Management,Employers
146,94,Employer - Progress,https://charmswiki.com/wiki/227/employer-progress,Provider / Partner Management,Employers
147,16,ARIS - Monthly Data Requirements - Children,https://charmswiki.com/wiki/197/aris-monthly-data-requirements-children,Child & Family Case Management,Child Record
148,5,Adding a Child Record,https://charmswiki.com/wiki/53/adding-a-child-record,Child & Family Case Management,Child Record
149,49,Charms-Pay - Children,https://charmswiki.com/wiki/169/charms-pay-children,Child & Family Case Management,Child Record
150,82,Closing/Withdrawing a Child Record,https://charmswiki.com/wiki/389/closingwithdrawing-a-child-record,Child & Family Case Management,Child Record
151,89,Deleting a Family or Child Record,https://charmswiki.com/wiki/396/deleting-a-family-or-child-record,Child & Family Case Management,Child Record
152,161,Modify Child - Address At Referral,https://charmswiki.com/wiki/69/modify-child-address-at-referral,Child & Family Case Management,Child Record
153,162,Modify Child - Address Moved Onto,https://charmswiki.com/wiki/70/modify-child-address-moved-onto,Child & Family Case Management,Child Record
154,163,Modify Child - Audit Log,https://charmswiki.com/wiki/101/modify-child-audit-log,Child & Family Case Management,Child Record
